Время_[с]	Перемещение_[мм]	Усилие_[Н]
0.00	0.000	2.53100E+2
0.10	0.003	2.72400E+2
0.20	0.004	2.81900E+2
0.30	0.006	2.94700E+2
0.40	0.008	3.05300E+2
0.50	0.009	3.15900E+2
0.60	0.011	3.25700E+2
0.70	0.013	3.35400E+2
0.80	0.015	3.45300E+2
0.90	0.017	3.54300E+2
1.00	0.018	3.62600E+2
1.10	0.020	3.70300E+2
1.20	0.022	3.79100E+2
1.30	0.024	3.86500E+2
1.40	0.025	3.94000E+2
1.50	0.027	4.01400E+2
1.60	0.029	4.08700E+2
1.70	0.031	4.15500E+2
1.80	0.032	4.22100E+2
1.90	0.034	4.29300E+2
2.00	0.036	4.35900E+2
2.10	0.037	4.42900E+2
2.20	0.039	4.49700E+2
2.30	0.041	4.55900E+2
2.40	0.043	4.61900E+2
2.50	0.044	4.68700E+2
2.60	0.046	4.75000E+2
2.70	0.048	4.80700E+2
2.80	0.049	4.87000E+2
2.90	0.051	4.92800E+2
3.00	0.054	5.01300E+2
3.10	0.055	5.05300E+2
3.20	0.056	5.11100E+2
3.30	0.058	5.16900E+2
3.40	0.060	5.22400E+2
3.50	0.062	5.28600E+2
3.60	0.063	5.34200E+2
3.70	0.065	5.40500E+2
3.80	0.067	5.45900E+2
3.90	0.068	5.51500E+2
4.00	0.070	5.57700E+2
4.10	0.072	5.63700E+2
4.20	0.074	5.69400E+2
4.30	0.076	5.75700E+2
4.40	0.077	5.81800E+2
4.50	0.079	5.87500E+2
4.60	0.081	5.92900E+2
4.70	0.083	5.98900E+2
4.80	0.084	6.04900E+2
4.90	0.086	6.11000E+2
5.00	0.088	6.16800E+2
5.10	0.090	6.22700E+2
5.20	0.092	6.28600E+2
5.30	0.093	6.34800E+2
5.40	0.095	6.40800E+2
5.50	0.097	6.46300E+2
5.60	0.099	6.51700E+2
5.70	0.101	6.57700E+2
5.80	0.102	6.63700E+2
5.90	0.104	6.68800E+2
6.00	0.106	6.74500E+2
6.10	0.108	6.80700E+2
6.20	0.110	6.85800E+2
6.30	0.112	6.91300E+2
6.40	0.114	6.96100E+2
6.50	0.115	7.01600E+2
6.60	0.117	7.06700E+2
6.70	0.119	7.12900E+2
6.80	0.121	7.18200E+2
6.90	0.123	7.23300E+2
7.00	0.124	7.28900E+2
7.10	0.126	7.33700E+2
7.20	0.128	7.38200E+2
7.30	0.130	7.43300E+2
7.40	0.131	7.48300E+2
7.50	0.133	7.53100E+2
7.60	0.135	7.58600E+2
7.70	0.136	7.63400E+2
7.80	0.138	7.68100E+2
7.90	0.140	7.73000E+2
8.00	0.142	7.78600E+2
8.10	0.144	7.83200E+2
8.20	0.145	7.88300E+2
8.30	0.147	7.93600E+2
8.40	0.149	7.98800E+2
8.50	0.151	8.03900E+2
8.60	0.153	8.09200E+2
8.70	0.155	8.14500E+2
8.80	0.156	8.19900E+2
8.90	0.158	8.25300E+2
9.00	0.160	8.30500E+2
9.10	0.162	8.35700E+2
9.20	0.164	8.41200E+2
9.30	0.166	8.46400E+2
9.40	0.168	8.52000E+2
9.50	0.170	8.57000E+2
9.60	0.171	8.62600E+2
9.70	0.173	8.67500E+2
9.80	0.175	8.72400E+2
9.90	0.177	8.78100E+2
10.00	0.179	8.83100E+2
10.10	0.181	8.88300E+2
10.20	0.182	8.92900E+2
10.30	0.184	8.98700E+2
10.40	0.186	9.03900E+2
10.50	0.188	9.08800E+2
10.60	0.190	9.13900E+2
10.70	0.192	9.19300E+2
10.80	0.194	9.24500E+2
10.90	0.195	9.29300E+2
11.00	0.197	9.34100E+2
11.10	0.199	9.39100E+2
11.20	0.201	9.44800E+2
11.30	0.203	9.49600E+2
11.40	0.205	9.54200E+2
11.50	0.206	9.59800E+2
11.60	0.209	9.66200E+2
11.70	0.210	9.69600E+2
11.80	0.212	9.73600E+2
11.90	0.214	9.79200E+2
12.00	0.216	9.83800E+2
12.10	0.217	9.88700E+2
12.20	0.219	9.93700E+2
12.30	0.221	9.98200E+2
12.40	0.223	1.00300E+3
12.50	0.225	1.00810E+3
12.60	0.227	1.01290E+3
12.70	0.228	1.01780E+3
12.80	0.230	1.02190E+3
12.90	0.232	1.02670E+3
13.00	0.234	1.03200E+3
13.10	0.236	1.03690E+3
13.20	0.238	1.04100E+3
13.30	0.240	1.04570E+3
13.40	0.241	1.05000E+3
13.50	0.243	1.05430E+3
13.60	0.245	1.05850E+3
13.70	0.247	1.06280E+3
13.80	0.249	1.06760E+3
13.90	0.250	1.07200E+3
14.00	0.252	1.07660E+3
14.10	0.254	1.08020E+3
14.20	0.256	1.08450E+3
14.30	0.257	1.08870E+3
14.40	0.259	1.09210E+3
14.50	0.261	1.09620E+3
14.60	0.263	1.10070E+3
14.70	0.265	1.10530E+3
14.80	0.266	1.10880E+3
14.90	0.268	1.11300E+3
15.00	0.270	1.11730E+3
15.10	0.272	1.12110E+3
15.20	0.274	1.12440E+3
15.30	0.275	1.12860E+3
15.40	0.277	1.13210E+3
15.50	0.279	1.13570E+3
15.60	0.280	1.13910E+3
15.70	0.282	1.14310E+3
15.80	0.284	1.14710E+3
15.90	0.286	1.15060E+3
16.00	0.287	1.15470E+3
16.10	0.289	1.15840E+3
16.20	0.291	1.16150E+3
16.30	0.293	1.16510E+3
16.40	0.294	1.16900E+3
16.50	0.296	1.17260E+3
16.60	0.298	1.17610E+3
16.70	0.300	1.17970E+3
16.80	0.301	1.18300E+3
16.90	0.303	1.18660E+3
17.00	0.305	1.18980E+3
17.10	0.307	1.19310E+3
17.20	0.308	1.19650E+3
17.30	0.310	1.20020E+3
17.40	0.312	1.20270E+3
17.50	0.313	1.20630E+3
17.60	0.315	1.20980E+3
17.70	0.317	1.21370E+3
17.80	0.319	1.21700E+3
17.90	0.320	1.22050E+3
18.00	0.322	1.22400E+3
18.10	0.324	1.22720E+3
18.20	0.326	1.23080E+3
18.30	0.327	1.23490E+3
18.40	0.329	1.23830E+3
18.50	0.331	1.24230E+3
18.60	0.333	1.24580E+3
18.70	0.335	1.24950E+3
18.80	0.336	1.25310E+3
18.90	0.338	1.25690E+3
19.00	0.340	1.26080E+3
19.10	0.342	1.26460E+3
19.20	0.344	1.26860E+3
19.30	0.345	1.27190E+3
19.40	0.347	1.27620E+3
19.50	0.349	1.27980E+3
19.60	0.351	1.28420E+3
19.70	0.353	1.28820E+3
19.80	0.354	1.29160E+3
19.90	0.356	1.29590E+3
20.00	0.358	1.29970E+3
20.10	0.360	1.30410E+3
20.20	0.362	1.30760E+3
20.30	0.364	1.31170E+3
20.40	0.366	1.31520E+3
20.50	0.367	1.31920E+3
20.60	0.369	1.32300E+3
20.70	0.371	1.32660E+3
20.80	0.373	1.33080E+3
20.90	0.375	1.33460E+3
21.00	0.376	1.33810E+3
21.10	0.378	1.34160E+3
21.20	0.380	1.34540E+3
21.30	0.382	1.34930E+3
21.40	0.383	1.35300E+3
21.50	0.385	1.35680E+3
21.60	0.387	1.36210E+3
21.70	0.389	1.36470E+3
21.80	0.390	1.36820E+3
21.90	0.392	1.37180E+3
22.00	0.394	1.37540E+3
22.10	0.396	1.37950E+3
22.20	0.398	1.38340E+3
22.30	0.399	1.38770E+3
22.40	0.401	1.39110E+3
22.50	0.403	1.39550E+3
22.60	0.405	1.39950E+3
22.70	0.407	1.40330E+3
22.80	0.409	1.40730E+3
22.90	0.411	1.41100E+3
23.00	0.412	1.41570E+3
23.10	0.414	1.41950E+3
23.20	0.416	1.42350E+3
23.30	0.418	1.42740E+3
23.40	0.420	1.43160E+3
23.50	0.422	1.43590E+3
23.60	0.424	1.43950E+3
23.70	0.425	1.44330E+3
23.80	0.427	1.44740E+3
23.90	0.429	1.45200E+3
24.00	0.431	1.45560E+3
24.10	0.433	1.45950E+3
24.20	0.435	1.46440E+3
24.30	0.436	1.46800E+3
24.40	0.438	1.47220E+3
24.50	0.440	1.47690E+3
24.60	0.442	1.48090E+3
24.70	0.444	1.48550E+3
24.80	0.446	1.49000E+3
24.90	0.448	1.49450E+3
25.00	0.450	1.49840E+3
25.10	0.451	1.50300E+3
25.20	0.453	1.50700E+3
25.30	0.455	1.51140E+3
25.40	0.457	1.51640E+3
25.50	0.459	1.52100E+3
25.60	0.461	1.52480E+3
25.70	0.462	1.52910E+3
25.80	0.464	1.53390E+3
25.90	0.466	1.53800E+3
26.00	0.468	1.54260E+3
26.10	0.470	1.54660E+3
26.20	0.472	1.55100E+3
26.30	0.474	1.55590E+3
26.40	0.475	1.56040E+3
26.50	0.477	1.56470E+3
26.60	0.479	1.56890E+3
26.70	0.481	1.57330E+3
26.80	0.483	1.57820E+3
26.90	0.485	1.58300E+3
27.00	0.487	1.58690E+3
27.10	0.488	1.59150E+3
27.20	0.490	1.59640E+3
27.30	0.492	1.60070E+3
27.40	0.494	1.60500E+3
27.50	0.496	1.60970E+3
27.60	0.498	1.61450E+3
27.70	0.499	1.61890E+3
27.80	0.501	1.62280E+3
27.90	0.503	1.62670E+3
28.00	0.505	1.63120E+3
28.10	0.506	1.63530E+3
28.20	0.508	1.63970E+3
28.30	0.510	1.64430E+3
28.40	0.512	1.64860E+3
28.50	0.514	1.65320E+3
28.60	0.516	1.65800E+3
28.70	0.517	1.66230E+3
28.80	0.519	1.66670E+3
28.90	0.521	1.67090E+3
29.00	0.523	1.67540E+3
29.10	0.524	1.67930E+3
29.20	0.526	1.68400E+3
29.30	0.528	1.68800E+3
29.40	0.530	1.69270E+3
29.50	0.531	1.69650E+3
29.60	0.533	1.70080E+3
29.70	0.535	1.70520E+3
29.80	0.537	1.70950E+3
29.90	0.538	1.71350E+3
30.00	0.540	1.71830E+3
30.10	0.542	1.72240E+3
30.20	0.544	1.72650E+3
30.30	0.545	1.73060E+3
30.40	0.547	1.73520E+3
30.50	0.549	1.73910E+3
30.60	0.550	1.74370E+3
30.70	0.552	1.74790E+3
30.80	0.554	1.75190E+3
30.90	0.556	1.75600E+3
31.00	0.557	1.76030E+3
31.10	0.559	1.76460E+3
31.20	0.561	1.76920E+3
31.30	0.563	1.77350E+3
31.40	0.564	1.77690E+3
31.50	0.566	1.78200E+3
31.60	0.568	1.78600E+3
31.70	0.570	1.79020E+3
31.80	0.571	1.79450E+3
31.90	0.573	1.79900E+3
32.00	0.575	1.80290E+3
32.10	0.577	1.80800E+3
32.20	0.578	1.81190E+3
32.30	0.580	1.81600E+3
32.40	0.582	1.82060E+3
32.50	0.584	1.82480E+3
32.60	0.585	1.82860E+3
32.70	0.587	1.83330E+3
32.80	0.589	1.83730E+3
32.90	0.591	1.84170E+3
33.00	0.593	1.84640E+3
33.10	0.594	1.85040E+3
33.20	0.596	1.85520E+3
33.30	0.599	1.86090E+3
33.40	0.600	1.86350E+3
33.50	0.602	1.86960E+3
33.60	0.603	1.87200E+3
33.70	0.605	1.87680E+3
33.80	0.607	1.88120E+3
33.90	0.609	1.88600E+3
34.00	0.611	1.89020E+3
34.10	0.612	1.89460E+3
34.20	0.614	1.89820E+3
34.30	0.616	1.90270E+3
34.40	0.618	1.90700E+3
34.50	0.619	1.91120E+3
34.60	0.621	1.91520E+3
34.70	0.623	1.91980E+3
34.80	0.625	1.92450E+3
34.90	0.626	1.92820E+3
35.00	0.628	1.93210E+3
35.10	0.630	1.93610E+3
35.20	0.632	1.94060E+3
35.30	0.633	1.94440E+3
35.40	0.635	1.94840E+3
35.50	0.637	1.95310E+3
35.60	0.639	1.95730E+3
35.70	0.640	1.96180E+3
35.80	0.642	1.96640E+3
35.90	0.644	1.97050E+3
36.00	0.646	1.97390E+3
36.10	0.647	1.97850E+3
36.20	0.649	1.98300E+3
36.30	0.651	1.98700E+3
36.40	0.653	1.99160E+3
36.50	0.655	1.99570E+3
36.60	0.657	2.00030E+3
36.70	0.658	2.00430E+3
36.80	0.660	2.00890E+3
36.90	0.662	2.01320E+3
37.00	0.664	2.01730E+3
37.10	0.666	2.02150E+3
37.20	0.668	2.02580E+3
37.30	0.669	2.03000E+3
37.40	0.671	2.03420E+3
37.50	0.673	2.03870E+3
37.60	0.675	2.04300E+3
37.70	0.677	2.04770E+3
37.80	0.679	2.05130E+3
37.90	0.680	2.05550E+3
38.00	0.682	2.05940E+3
38.10	0.684	2.06450E+3
38.20	0.686	2.06890E+3
38.30	0.688	2.07230E+3
38.40	0.690	2.07680E+3
38.50	0.692	2.08150E+3
38.60	0.693	2.08510E+3
38.70	0.695	2.08940E+3
38.80	0.697	2.09330E+3
38.90	0.699	2.09770E+3
39.00	0.701	2.10190E+3
39.10	0.703	2.10570E+3
39.20	0.704	2.10950E+3
39.30	0.706	2.11450E+3
39.40	0.708	2.11850E+3
39.50	0.710	2.12190E+3
39.60	0.712	2.12580E+3
39.70	0.714	2.12960E+3
39.80	0.715	2.13420E+3
39.90	0.717	2.13790E+3
40.00	0.719	2.14160E+3
40.10	0.721	2.14530E+3
40.20	0.723	2.14980E+3
40.30	0.725	2.15360E+3
40.40	0.726	2.15780E+3
40.50	0.728	2.16170E+3
40.60	0.730	2.16520E+3
40.70	0.732	2.16920E+3
40.80	0.734	2.17310E+3
40.90	0.736	2.17670E+3
41.00	0.737	2.18060E+3
41.10	0.739	2.18440E+3
41.20	0.741	2.18820E+3
41.30	0.743	2.19140E+3
41.40	0.745	2.19530E+3
41.50	0.747	2.19930E+3
41.60	0.748	2.20290E+3
41.70	0.750	2.20630E+3
41.80	0.752	2.20940E+3
41.90	0.754	2.21250E+3
42.00	0.755	2.21590E+3
42.10	0.757	2.21950E+3
42.20	0.759	2.22280E+3
42.30	0.761	2.22620E+3
42.40	0.763	2.22960E+3
42.50	0.764	2.23270E+3
42.60	0.766	2.23620E+3
42.70	0.768	2.23900E+3
42.80	0.770	2.24260E+3
42.90	0.772	2.24580E+3
43.00	0.773	2.24870E+3
43.10	0.775	2.25150E+3
43.20	0.777	2.25460E+3
43.30	0.778	2.25710E+3
43.40	0.780	2.25970E+3
43.50	0.782	2.26310E+3
43.60	0.784	2.26580E+3
43.70	0.785	2.26860E+3
43.80	0.787	2.27150E+3
43.90	0.789	2.27470E+3
44.00	0.791	2.27710E+3
44.10	0.792	2.27970E+3
44.20	0.794	2.28250E+3
44.30	0.796	2.28480E+3
44.40	0.798	2.28750E+3
44.50	0.799	2.29010E+3
44.60	0.801	2.29270E+3
44.70	0.803	2.29550E+3
44.80	0.805	2.29820E+3
44.90	0.806	2.30020E+3
45.00	0.808	2.30300E+3
45.10	0.810	2.30570E+3
45.20	0.812	2.30820E+3
45.30	0.813	2.31040E+3
45.40	0.815	2.31260E+3
45.50	0.817	2.31450E+3
45.60	0.818	2.31750E+3
45.70	0.820	2.32000E+3
45.80	0.822	2.32260E+3
45.90	0.824	2.32490E+3
46.00	0.826	2.32740E+3
46.10	0.827	2.32990E+3
