Время_[с]	Перемещение_[мм]	Усилие_[Н]
46.20	0.829	2.33130E+3
46.30	0.831	2.33390E+3
46.40	0.833	2.33600E+3
46.50	0.834	2.33800E+3
46.60	0.836	2.34000E+3
46.70	0.838	2.34210E+3
46.80	0.840	2.34460E+3
46.90	0.841	2.34660E+3
47.00	0.843	2.34910E+3
47.10	0.845	2.35090E+3
47.20	0.847	2.35300E+3
47.30	0.849	2.35480E+3
47.40	0.850	2.35720E+3
47.50	0.852	2.35950E+3
47.60	0.854	2.36130E+3
47.70	0.856	2.36370E+3
47.80	0.858	2.36570E+3
47.90	0.859	2.36770E+3
48.00	0.861	2.36920E+3
48.10	0.863	2.37090E+3
48.20	0.865	2.37240E+3
48.30	0.866	2.37460E+3
48.40	0.868	2.37630E+3
48.50	0.870	2.37780E+3
48.60	0.872	2.37990E+3
48.70	0.874	2.38230E+3
48.80	0.875	2.38350E+3
48.90	0.877	2.38540E+3
49.00	0.879	2.38720E+3
49.10	0.880	2.38860E+3
49.20	0.882	2.39080E+3
49.30	0.884	2.39220E+3
49.40	0.886	2.39400E+3
49.50	0.887	2.39620E+3
49.60	0.889	2.39840E+3
49.70	0.891	2.40070E+3
49.80	0.893	2.40160E+3
49.90	0.894	2.40380E+3
50.00	0.896	2.40530E+3
50.10	0.898	2.40660E+3
50.20	0.900	2.40890E+3
50.30	0.902	2.41010E+3
50.40	0.904	2.41210E+3
50.50	0.905	2.41360E+3
50.60	0.907	2.41510E+3
50.70	0.909	2.41720E+3
50.80	0.911	2.41930E+3
50.90	0.914	2.42130E+3
51.00	0.915	2.42190E+3
51.10	0.917	2.42330E+3
51.20	0.918	2.42480E+3
51.30	0.920	2.42620E+3
51.40	0.922	2.42790E+3
51.50	0.924	2.42880E+3
51.60	0.926	2.43090E+3
51.70	0.928	2.43270E+3
51.80	0.929	2.43450E+3
51.90	0.931	2.43560E+3
52.00	0.933	2.43790E+3
52.10	0.935	2.43970E+3
52.20	0.937	2.44060E+3
52.30	0.939	2.44210E+3
52.40	0.940	2.44420E+3
52.50	0.942	2.44630E+3
52.60	0.944	2.44770E+3
52.70	0.946	2.44860E+3
52.80	0.948	2.44960E+3
52.90	0.950	2.45190E+3
53.00	0.952	2.45340E+3
53.10	0.953	2.45440E+3
53.20	0.955	2.45620E+3
53.30	0.957	2.45800E+3
53.40	0.959	2.45930E+3
53.50	0.961	2.46060E+3
53.60	0.963	2.46210E+3
53.70	0.964	2.46410E+3
53.80	0.966	2.46580E+3
53.90	0.968	2.46680E+3
54.00	0.970	2.46840E+3
54.10	0.972	2.46970E+3
54.20	0.973	2.47130E+3
54.30	0.975	2.47300E+3
54.40	0.977	2.47390E+3
54.50	0.979	2.47530E+3
54.60	0.981	2.47670E+3
54.70	0.983	2.47890E+3
54.80	0.984	2.48010E+3
54.90	0.986	2.48150E+3
55.00	0.988	2.48290E+3
55.10	0.990	2.48510E+3
55.20	0.992	2.48590E+3
55.30	0.994	2.48670E+3
55.40	0.995	2.48840E+3
55.50	0.997	2.48980E+3
55.60	0.999	2.49130E+3
55.70	1.001	2.49220E+3
55.80	1.002	2.49350E+3
55.90	1.004	2.49480E+3
56.00	1.006	2.49630E+3
56.10	1.008	2.49750E+3
56.20	1.010	2.49860E+3
56.30	1.011	2.50070E+3
56.40	1.013	2.50170E+3
56.50	1.015	2.50410E+3
56.60	1.017	2.50470E+3
56.70	1.019	2.50540E+3
56.80	1.020	2.50670E+3
56.90	1.022	2.50780E+3
57.00	1.024	2.50760E+3
57.10	1.026	2.50680E+3
57.20	1.027	2.48740E+3
57.30	1.029	2.48690E+3
57.40	1.031	2.49480E+3
57.50	1.033	2.50280E+3
57.60	1.034	2.50940E+3
57.70	1.036	2.51340E+3
57.80	1.038	2.51680E+3
57.90	1.040	2.51990E+3
58.00	1.041	2.52230E+3
58.10	1.043	2.52390E+3
58.20	1.045	2.50450E+3
58.30	1.046	2.49810E+3
58.40	1.048	2.50550E+3
58.50	1.050	2.51450E+3
58.60	1.052	2.52210E+3
58.70	1.053	2.52760E+3
58.80	1.055	2.53100E+3
58.90	1.057	2.53300E+3
59.00	1.059	2.53500E+3
59.10	1.060	2.53470E+3
59.20	1.062	2.51680E+3
59.30	1.064	2.51370E+3
59.40	1.066	2.52080E+3
59.50	1.067	2.52860E+3
59.60	1.069	2.53470E+3
59.70	1.071	2.53840E+3
59.80	1.073	2.54080E+3
59.90	1.074	2.51450E+3
60.00	1.076	2.51530E+3
60.10	1.078	2.52390E+3
60.20	1.080	2.53380E+3
60.30	1.082	2.54120E+3
60.40	1.083	2.54540E+3
60.50	1.085	2.54800E+3
60.60	1.087	2.51880E+3
60.70	1.089	2.52010E+3
60.80	1.090	2.52920E+3
60.90	1.092	2.53880E+3
61.00	1.094	2.54670E+3
61.10	1.096	2.55020E+3
61.20	1.097	2.52530E+3
61.30	1.099	2.52530E+3
61.40	1.101	2.53410E+3
61.50	1.103	2.54350E+3
61.60	1.105	2.54870E+3
61.70	1.106	2.52270E+3
61.80	1.108	2.52650E+3
61.90	1.110	2.53660E+3
62.00	1.112	2.54720E+3
62.10	1.114	2.55300E+3
62.20	1.115	2.52370E+3
62.30	1.117	2.52690E+3
62.40	1.119	2.53710E+3
62.50	1.121	2.54740E+3
62.60	1.122	2.55560E+3
62.70	1.124	2.52610E+3
62.80	1.126	2.52650E+3
62.90	1.128	2.53660E+3
63.00	1.129	2.54770E+3
63.10	1.131	2.55660E+3
63.20	1.133	2.55330E+3
63.30	1.134	2.52830E+3
63.40	1.136	2.53480E+3
63.50	1.138	2.54590E+3
63.60	1.140	2.55700E+3
63.70	1.142	2.55960E+3
63.80	1.143	2.53040E+3
63.90	1.145	2.53710E+3
64.00	1.147	2.54870E+3
64.10	1.149	2.55930E+3
64.20	1.150	2.55420E+3
64.30	1.152	2.53370E+3
64.40	1.154	2.54150E+3
64.50	1.156	2.55330E+3
64.60	1.158	2.56340E+3
64.70	1.160	2.53930E+3
64.80	1.162	2.53920E+3
64.90	1.163	2.55020E+3
65.00	1.165	2.56200E+3
65.10	1.167	2.57100E+3
65.20	1.169	2.54000E+3
65.30	1.171	2.54180E+3
65.40	1.172	2.55240E+3
65.50	1.174	2.56320E+3
65.60	1.176	2.57300E+3
65.70	1.178	2.54550E+3
65.80	1.180	2.54850E+3
65.90	1.182	2.55960E+3
66.00	1.183	2.57110E+3
66.10	1.185	2.55890E+3
66.20	1.187	2.54400E+3
66.30	1.189	2.55250E+3
66.40	1.191	2.56480E+3
66.50	1.193	2.57640E+3
66.60	1.195	2.56960E+3
66.70	1.196	2.54580E+3
66.80	1.198	2.55380E+3
66.90	1.200	2.56620E+3
67.00	1.202	2.57730E+3
67.10	1.204	2.57320E+3
67.20	1.206	2.56930E+3
67.30	1.207	2.57710E+3
67.40	1.209	2.58710E+3
67.50	1.211	2.59300E+3
67.60	1.213	2.52460E+3
67.70	1.215	2.52710E+3
67.80	1.216	2.53920E+3
67.90	1.218	2.55260E+3
68.00	1.220	2.56440E+3
68.10	1.222	2.57630E+3
68.20	1.224	2.54450E+3
68.30	1.226	2.54720E+3
68.40	1.227	2.55920E+3
68.50	1.229	2.57120E+3
68.60	1.231	2.58030E+3
68.70	1.233	2.54730E+3
68.80	1.235	2.55510E+3
68.90	1.236	2.56800E+3
69.00	1.238	2.58130E+3
69.10	1.240	2.59130E+3
69.20	1.242	2.59030E+3
69.30	1.244	2.58970E+3
69.40	1.246	2.59850E+3
69.50	1.247	2.60580E+3
69.60	1.249	2.61010E+3
69.70	1.251	2.61360E+3
69.80	1.253	2.61750E+3
69.90	1.254	2.62160E+3
70.00	1.256	2.62650E+3
70.10	1.258	2.63190E+3
70.20	1.260	2.62600E+3
70.30	1.262	2.60150E+3
70.40	1.263	2.61110E+3
70.50	1.265	2.62360E+3
70.60	1.267	2.63410E+3
70.70	1.269	2.64070E+3
70.80	1.270	2.64600E+3
70.90	1.272	2.58680E+3
71.00	1.274	2.59590E+3
71.10	1.276	2.60840E+3
71.20	1.277	2.62120E+3
71.30	1.279	2.63270E+3
71.40	1.281	2.64370E+3
71.50	1.283	2.65050E+3
71.60	1.284	2.65550E+3
71.70	1.286	2.65820E+3
71.80	1.288	2.65690E+3
71.90	1.290	2.60590E+3
72.00	1.291	2.61370E+3
72.10	1.293	2.62660E+3
72.20	1.295	2.63870E+3
72.30	1.297	2.65060E+3
72.40	1.298	2.66030E+3
72.50	1.300	2.66700E+3
72.60	1.302	2.67320E+3
72.70	1.304	2.67810E+3
72.80	1.305	2.62140E+3
72.90	1.307	2.62610E+3
73.00	1.309	2.63900E+3
73.10	1.311	2.65150E+3
73.20	1.312	2.66260E+3
73.30	1.314	2.67320E+3
73.40	1.316	2.68080E+3
73.50	1.318	2.68640E+3
73.60	1.319	2.68050E+3
73.70	1.321	2.62240E+3
73.80	1.323	2.63140E+3
73.90	1.325	2.64400E+3
74.00	1.326	2.65700E+3
74.10	1.328	2.66840E+3
74.20	1.330	2.67920E+3
74.30	1.332	2.68760E+3
74.40	1.333	2.69270E+3
74.50	1.335	2.69550E+3
74.60	1.337	2.64300E+3
74.70	1.339	2.65010E+3
74.80	1.340	2.66270E+3
74.90	1.342	2.67470E+3
75.00	1.344	2.68630E+3
75.10	1.346	2.69500E+3
75.20	1.347	2.70190E+3
75.30	1.349	2.70660E+3
75.40	1.351	2.64560E+3
75.50	1.353	2.64770E+3
75.60	1.355	2.66010E+3
75.70	1.356	2.67310E+3
75.80	1.358	2.68510E+3
75.90	1.360	2.67990E+3
76.00	1.362	2.66550E+3
76.10	1.364	2.67390E+3
76.20	1.365	2.68610E+3
76.30	1.367	2.69740E+3
76.40	1.369	2.70570E+3
76.50	1.371	2.71280E+3
76.60	1.372	2.69740E+3
76.70	1.374	2.66060E+3
76.80	1.376	2.66980E+3
76.90	1.378	2.68220E+3
77.00	1.379	2.69460E+3
77.10	1.381	2.70600E+3
77.20	1.383	2.71580E+3
77.30	1.384	2.72170E+3
77.40	1.386	2.66390E+3
77.50	1.388	2.66780E+3
77.60	1.390	2.68030E+3
77.70	1.392	2.69380E+3
77.80	1.393	2.70590E+3
77.90	1.395	2.71710E+3
78.00	1.397	2.72660E+3
78.10	1.399	2.69690E+3
78.20	1.400	2.66810E+3
78.30	1.403	2.68640E+3
78.40	1.404	2.69280E+3
78.50	1.406	2.70590E+3
78.60	1.408	2.71790E+3
78.70	1.410	2.72810E+3
78.80	1.411	2.66990E+3
78.90	1.413	2.67420E+3
79.00	1.415	2.68760E+3
79.10	1.417	2.70110E+3
79.20	1.419	2.71510E+3
79.30	1.421	2.72660E+3
79.40	1.422	2.69560E+3
79.50	1.424	2.67390E+3
79.60	1.426	2.68610E+3
79.70	1.428	2.69930E+3
79.80	1.430	2.71270E+3
79.90	1.431	2.72530E+3
80.00	1.433	2.73570E+3
80.10	1.435	2.69620E+3
80.20	1.437	2.67940E+3
80.30	1.439	2.68930E+3
80.40	1.441	2.70170E+3
80.50	1.443	2.71390E+3
80.60	1.444	2.67770E+3
80.70	1.446	2.68240E+3
80.80	1.448	2.69560E+3
80.90	1.450	2.70940E+3
81.00	1.452	2.72300E+3
81.10	1.453	2.73430E+3
81.20	1.455	2.74450E+3
81.30	1.457	2.68050E+3
81.40	1.459	2.68310E+3
81.50	1.461	2.69410E+3
81.60	1.463	2.70740E+3
81.70	1.464	2.71900E+3
81.80	1.466	2.72970E+3
81.90	1.468	2.72690E+3
82.00	1.470	2.69340E+3
82.10	1.472	2.70020E+3
82.20	1.473	2.71330E+3
82.30	1.475	2.72630E+3
82.40	1.477	2.73810E+3
82.50	1.479	2.74740E+3
82.60	1.481	2.75230E+3
82.70	1.483	2.74950E+3
82.80	1.484	2.74760E+3
82.90	1.486	2.75230E+3
83.00	1.488	2.69080E+3
83.10	1.490	2.70010E+3
83.20	1.492	2.71330E+3
83.30	1.493	2.72590E+3
83.40	1.495	2.73840E+3
83.50	1.497	2.74880E+3
83.60	1.499	2.75650E+3
83.70	1.501	2.75580E+3
83.80	1.502	2.74660E+3
83.90	1.504	2.75460E+3
84.00	1.506	2.68900E+3
84.10	1.508	2.69420E+3
84.20	1.509	2.70720E+3
84.30	1.511	2.72030E+3
84.40	1.513	2.73340E+3
84.50	1.515	2.74510E+3
84.60	1.517	2.74020E+3
84.70	1.518	2.70740E+3
84.80	1.520	2.71650E+3
84.90	1.522	2.72920E+3
85.00	1.524	2.74180E+3
85.10	1.525	2.75280E+3
85.20	1.527	2.74440E+3
85.30	1.529	2.74120E+3
85.40	1.531	2.74990E+3
85.50	1.532	2.75930E+3
85.60	1.534	2.71060E+3
85.70	1.536	2.71980E+3
85.80	1.538	2.73300E+3
85.90	1.539	2.74590E+3
86.00	1.541	2.75780E+3
86.10	1.543	2.76780E+3
86.20	1.545	2.77480E+3
86.30	1.546	2.78070E+3
86.40	1.548	2.78170E+3
86.50	1.550	2.77660E+3
86.60	1.552	2.72410E+3
86.70	1.553	2.73340E+3
86.80	1.555	2.74650E+3
86.90	1.557	2.76000E+3
87.00	1.559	2.77190E+3
