Время_[с]	Перемещение_[мм]	Усилие_[Н]
8.40	0.148	8.28400E+2
8.50	0.150	8.34800E+2
8.60	0.152	8.40800E+2
8.70	0.154	8.46500E+2
8.80	0.155	8.51800E+2
8.90	0.157	8.57600E+2
9.00	0.159	8.63600E+2
9.10	0.161	8.69800E+2
9.20	0.163	8.75800E+2
9.30	0.165	8.81900E+2
9.40	0.167	8.88000E+2
9.50	0.169	8.94300E+2
9.60	0.171	9.00500E+2
9.70	0.172	9.06500E+2
9.80	0.174	9.12300E+2
9.90	0.176	9.18300E+2
10.00	0.178	9.23600E+2
10.10	0.180	9.29800E+2
10.20	0.182	9.36000E+2
10.30	0.183	9.41800E+2
10.40	0.185	9.48300E+2
10.50	0.187	9.53700E+2
10.60	0.189	9.60300E+2
10.70	0.191	9.66800E+2
10.80	0.193	9.71900E+2
10.90	0.195	9.77700E+2
11.00	0.196	9.83900E+2
11.10	0.198	9.89800E+2
11.20	0.200	9.95600E+2
11.30	0.202	1.00170E+3
11.40	0.204	1.00790E+3
11.50	0.206	1.01410E+3
11.60	0.208	1.02120E+3
11.70	0.209	1.02530E+3
11.80	0.211	1.03150E+3
11.90	0.213	1.03760E+3
12.00	0.215	1.04350E+3
12.10	0.216	1.04900E+3
12.20	0.218	1.05530E+3
12.30	0.220	1.06140E+3
12.40	0.222	1.06790E+3
12.50	0.224	1.07330E+3
12.60	0.226	1.07950E+3
12.70	0.228	1.08550E+3
12.80	0.229	1.09180E+3
12.90	0.231	1.09750E+3
13.00	0.233	1.10340E+3
13.10	0.235	1.10880E+3
13.20	0.237	1.11590E+3
13.30	0.239	1.12230E+3
13.40	0.240	1.12800E+3
13.50	0.242	1.13400E+3
13.60	0.244	1.14050E+3
13.70	0.246	1.14620E+3
13.80	0.248	1.15200E+3
13.90	0.250	1.15790E+3
14.00	0.251	1.16400E+3
14.10	0.253	1.16990E+3
14.20	0.255	1.17610E+3
14.30	0.257	1.18160E+3
14.40	0.258	1.18760E+3
14.50	0.260	1.19320E+3
14.60	0.262	1.19910E+3
14.70	0.264	1.20510E+3
14.80	0.266	1.21100E+3
14.90	0.267	1.21700E+3
15.00	0.269	1.22250E+3
15.10	0.271	1.22870E+3
15.20	0.273	1.23380E+3
15.30	0.275	1.23990E+3
15.40	0.276	1.24540E+3
15.50	0.278	1.25060E+3
15.60	0.280	1.25580E+3
15.70	0.282	1.26160E+3
15.80	0.283	1.26730E+3
15.90	0.285	1.27280E+3
16.00	0.287	1.27830E+3
16.10	0.288	1.28400E+3
16.20	0.290	1.28880E+3
16.30	0.292	1.29420E+3
16.40	0.294	1.29970E+3
16.50	0.295	1.30520E+3
16.60	0.297	1.31050E+3
16.70	0.299	1.31580E+3
16.80	0.301	1.32180E+3
16.90	0.302	1.32660E+3
17.00	0.304	1.33230E+3
17.10	0.306	1.33740E+3
17.20	0.308	1.34240E+3
17.30	0.309	1.34820E+3
17.40	0.311	1.35310E+3
17.50	0.313	1.35850E+3
17.60	0.315	1.36380E+3
17.70	0.316	1.36930E+3
17.80	0.318	1.37420E+3
17.90	0.320	1.37980E+3
18.00	0.322	1.38540E+3
18.10	0.323	1.39030E+3
18.20	0.325	1.39580E+3
18.30	0.327	1.40130E+3
18.40	0.329	1.40660E+3
18.50	0.330	1.41230E+3
18.60	0.332	1.41730E+3
18.70	0.334	1.42240E+3
18.80	0.336	1.42780E+3
18.90	0.337	1.43260E+3
19.00	0.339	1.43870E+3
19.10	0.341	1.44360E+3
19.20	0.343	1.44820E+3
19.30	0.345	1.45330E+3
19.40	0.346	1.45880E+3
19.50	0.348	1.46390E+3
19.60	0.350	1.46810E+3
19.70	0.352	1.47380E+3
19.80	0.354	1.47900E+3
19.90	0.355	1.48380E+3
20.00	0.357	1.48890E+3
20.10	0.359	1.49320E+3
20.20	0.361	1.49860E+3
20.30	0.363	1.50330E+3
20.40	0.365	1.50820E+3
20.50	0.366	1.51320E+3
20.60	0.368	1.51710E+3
20.70	0.370	1.52210E+3
20.80	0.372	1.52670E+3
20.90	0.373	1.53120E+3
21.00	0.375	1.53570E+3
21.10	0.377	1.54080E+3
21.20	0.379	1.54510E+3
21.30	0.381	1.54940E+3
21.40	0.382	1.55340E+3
21.50	0.384	1.55820E+3
21.60	0.386	1.56250E+3
21.70	0.388	1.56860E+3
21.80	0.389	1.57160E+3
21.90	0.391	1.57560E+3
22.00	0.393	1.58020E+3
22.10	0.395	1.58490E+3
22.20	0.396	1.58910E+3
22.30	0.398	1.59310E+3
22.40	0.400	1.59790E+3
22.50	0.402	1.60230E+3
22.60	0.403	1.60730E+3
22.70	0.405	1.61130E+3
22.80	0.407	1.61600E+3
22.90	0.409	1.62070E+3
23.00	0.411	1.62500E+3
23.10	0.413	1.62960E+3
23.20	0.415	1.63430E+3
23.30	0.417	1.63900E+3
23.40	0.418	1.64300E+3
23.50	0.420	1.64750E+3
23.60	0.422	1.65210E+3
23.70	0.424	1.65610E+3
23.80	0.426	1.66100E+3
23.90	0.428	1.66500E+3
24.00	0.429	1.66920E+3
24.10	0.431	1.67350E+3
24.20	0.433	1.67740E+3
24.30	0.435	1.68220E+3
24.40	0.437	1.68660E+3
24.50	0.439	1.69090E+3
24.60	0.440	1.69540E+3
24.70	0.442	1.69930E+3
24.80	0.444	1.70350E+3
24.90	0.446	1.70820E+3
25.00	0.448	1.71240E+3
25.10	0.450	1.71640E+3
25.20	0.452	1.71990E+3
25.30	0.453	1.72450E+3
25.40	0.455	1.72900E+3
25.50	0.457	1.73280E+3
25.60	0.459	1.73720E+3
25.70	0.461	1.74120E+3
25.80	0.463	1.74510E+3
25.90	0.464	1.74950E+3
26.00	0.466	1.75300E+3
26.10	0.468	1.75770E+3
26.20	0.470	1.76170E+3
26.30	0.472	1.76610E+3
26.40	0.474	1.77000E+3
26.50	0.475	1.77420E+3
26.60	0.477	1.77870E+3
26.70	0.479	1.78300E+3
26.80	0.481	1.78670E+3
26.90	0.483	1.79030E+3
27.00	0.485	1.79520E+3
27.10	0.486	1.79900E+3
27.20	0.488	1.80400E+3
27.30	0.490	1.80810E+3
27.40	0.492	1.81220E+3
27.50	0.494	1.81630E+3
27.60	0.496	1.82040E+3
27.70	0.497	1.82400E+3
27.80	0.499	1.82820E+3
27.90	0.501	1.83220E+3
28.00	0.503	1.83640E+3
28.10	0.505	1.84030E+3
28.20	0.506	1.84460E+3
28.30	0.508	1.84870E+3
28.40	0.510	1.85270E+3
28.50	0.512	1.85600E+3
28.60	0.514	1.86020E+3
28.70	0.515	1.86470E+3
28.80	0.517	1.86860E+3
28.90	0.519	1.87260E+3
29.00	0.521	1.87680E+3
29.10	0.523	1.88080E+3
29.20	0.524	1.88440E+3
29.30	0.526	1.88850E+3
29.40	0.528	1.89230E+3
29.50	0.530	1.89550E+3
29.60	0.531	1.89960E+3
29.70	0.533	1.90310E+3
29.80	0.535	1.90660E+3
29.90	0.537	1.90980E+3
30.00	0.538	1.91440E+3
30.10	0.540	1.91820E+3
30.20	0.542	1.92140E+3
30.30	0.544	1.92540E+3
30.40	0.545	1.92890E+3
30.50	0.547	1.93260E+3
30.60	0.549	1.93640E+3
30.70	0.550	1.94050E+3
30.80	0.552	1.94390E+3
30.90	0.554	1.94720E+3
31.00	0.556	1.95140E+3
31.10	0.557	1.95520E+3
31.20	0.559	1.95890E+3
31.30	0.561	1.96220E+3
31.40	0.563	1.96580E+3
31.50	0.564	1.96940E+3
31.60	0.567	1.97480E+3
31.70	0.568	1.97700E+3
31.80	0.570	1.98040E+3
31.90	0.571	1.98410E+3
32.00	0.573	1.98780E+3
32.10	0.575	1.99120E+3
32.20	0.577	1.99470E+3
32.30	0.578	1.99800E+3
32.40	0.580	2.00200E+3
32.50	0.582	2.00560E+3
32.60	0.584	2.00950E+3
32.70	0.586	2.01260E+3
32.80	0.587	2.01680E+3
32.90	0.589	2.02000E+3
33.00	0.591	2.02350E+3
33.10	0.593	2.02730E+3
33.20	0.594	2.03070E+3
33.30	0.596	2.03490E+3
33.40	0.598	2.03970E+3
33.50	0.600	2.04210E+3
33.60	0.601	2.04530E+3
33.70	0.603	2.04890E+3
33.80	0.605	2.05250E+3
33.90	0.607	2.05570E+3
34.00	0.609	2.05940E+3
34.10	0.610	2.06320E+3
34.20	0.612	2.06640E+3
34.30	0.614	2.07010E+3
34.40	0.616	2.07370E+3
34.50	0.617	2.07720E+3
34.60	0.619	2.08010E+3
34.70	0.621	2.08410E+3
34.80	0.623	2.08720E+3
34.90	0.624	2.09080E+3
35.00	0.626	2.09390E+3
35.10	0.628	2.09680E+3
35.20	0.630	2.10020E+3
35.30	0.631	2.10370E+3
35.40	0.633	2.10680E+3
35.50	0.635	2.11000E+3
35.60	0.637	2.11390E+3
35.70	0.638	2.11690E+3
35.80	0.640	2.12030E+3
35.90	0.642	2.12380E+3
36.00	0.644	2.12670E+3
36.10	0.645	2.12960E+3
36.20	0.647	2.13330E+3
36.30	0.649	2.13630E+3
36.40	0.651	2.13970E+3
36.50	0.652	2.14240E+3
36.60	0.654	2.14620E+3
36.70	0.656	2.14950E+3
36.80	0.658	2.15280E+3
36.90	0.660	2.15610E+3
37.00	0.662	2.15870E+3
37.10	0.663	2.16190E+3
37.20	0.665	2.16530E+3
37.30	0.667	2.16850E+3
37.40	0.669	2.17120E+3
37.50	0.671	2.17430E+3
37.60	0.673	2.17700E+3
37.70	0.674	2.18000E+3
37.80	0.676	2.18310E+3
37.90	0.678	2.18590E+3
38.00	0.680	2.18930E+3
38.10	0.682	2.19190E+3
38.20	0.683	2.19480E+3
38.30	0.685	2.19750E+3
38.40	0.687	2.20120E+3
38.50	0.689	2.20430E+3
38.60	0.691	2.20670E+3
38.70	0.693	2.20930E+3
38.80	0.694	2.21240E+3
38.90	0.696	2.21530E+3
39.00	0.698	2.21780E+3
39.10	0.700	2.22020E+3
39.20	0.702	2.22310E+3
39.30	0.704	2.22620E+3
39.40	0.705	2.22880E+3
39.50	0.707	2.23100E+3
39.60	0.709	2.23420E+3
39.70	0.711	2.23680E+3
39.80	0.713	2.23960E+3
39.90	0.715	2.24150E+3
40.00	0.716	2.24390E+3
40.10	0.718	2.24740E+3
40.20	0.720	2.24970E+3
40.30	0.722	2.25260E+3
40.40	0.724	2.25470E+3
40.50	0.726	2.25780E+3
40.60	0.727	2.26010E+3
40.70	0.729	2.26250E+3
40.80	0.731	2.26470E+3
40.90	0.733	2.26660E+3
41.00	0.735	2.26950E+3
41.10	0.737	2.27200E+3
41.20	0.738	2.27480E+3
41.30	0.740	2.27750E+3
41.40	0.742	2.28000E+3
41.50	0.744	2.28210E+3
41.60	0.746	2.28400E+3
41.70	0.747	2.28560E+3
41.80	0.749	2.28870E+3
41.90	0.751	2.29100E+3
42.00	0.753	2.29300E+3
42.10	0.755	2.29530E+3
42.20	0.756	2.29740E+3
42.30	0.758	2.29900E+3
42.40	0.760	2.30190E+3
42.50	0.762	2.30400E+3
42.60	0.763	2.30580E+3
42.70	0.765	2.30850E+3
42.80	0.767	2.31070E+3
42.90	0.769	2.31300E+3
43.00	0.771	2.31490E+3
43.10	0.772	2.31730E+3
43.20	0.774	2.31990E+3
43.30	0.776	2.32120E+3
43.40	0.778	2.32330E+3
43.50	0.780	2.32530E+3
43.60	0.781	2.32720E+3
43.70	0.783	2.32900E+3
43.80	0.785	2.33090E+3
43.90	0.786	2.33290E+3
44.00	0.788	2.33490E+3
44.10	0.790	2.33670E+3
44.20	0.792	2.33860E+3
44.30	0.793	2.34110E+3
44.40	0.795	2.34290E+3
44.50	0.797	2.34450E+3
44.60	0.799	2.34650E+3
44.70	0.800	2.34860E+3
44.80	0.802	2.35070E+3
44.90	0.804	2.35280E+3
45.00	0.806	2.35450E+3
45.10	0.807	2.35660E+3
45.20	0.809	2.35850E+3
45.30	0.811	2.36030E+3
45.40	0.813	2.36230E+3
45.50	0.814	2.36410E+3
45.60	0.816	2.36560E+3
45.70	0.818	2.36760E+3
45.80	0.820	2.36900E+3
45.90	0.821	2.37050E+3
46.00	0.823	2.37280E+3
46.10	0.825	2.37440E+3
46.20	0.827	2.37620E+3
46.30	0.828	2.37830E+3
46.40	0.830	2.38000E+3
46.50	0.832	2.38150E+3
46.60	0.834	2.38320E+3
46.70	0.835	2.38530E+3
46.80	0.837	2.38650E+3
46.90	0.839	2.38860E+3
47.00	0.841	2.39010E+3
47.10	0.842	2.39180E+3
47.20	0.844	2.39350E+3
47.30	0.846	2.39510E+3
47.40	0.848	2.39710E+3
47.50	0.849	2.39860E+3
47.60	0.851	2.40030E+3
47.70	0.853	2.40190E+3
47.80	0.855	2.40400E+3
47.90	0.857	2.40570E+3
48.00	0.858	2.40700E+3
48.10	0.860	2.40900E+3
48.20	0.862	2.41030E+3
48.30	0.864	2.41230E+3
48.40	0.866	2.41400E+3
48.50	0.867	2.41510E+3
48.60	0.869	2.41670E+3
48.70	0.871	2.41830E+3
48.80	0.873	2.42020E+3
48.90	0.874	2.42160E+3
49.00	0.876	2.42340E+3
49.10	0.878	2.42500E+3
49.20	0.879	2.42630E+3
49.30	0.881	2.42800E+3
49.40	0.883	2.42940E+3
49.50	0.885	2.43080E+3
49.60	0.886	2.43270E+3
49.70	0.888	2.43370E+3
49.80	0.890	2.43550E+3
49.90	0.892	2.43780E+3
50.00	0.893	2.43920E+3
50.10	0.895	2.44090E+3
50.20	0.897	2.44260E+3
50.30	0.899	2.44400E+3
50.40	0.900	2.44550E+3
50.50	0.902	2.44690E+3
50.60	0.904	2.44830E+3
50.70	0.906	2.44990E+3
50.80	0.908	2.45120E+3
50.90	0.910	2.45310E+3
51.00	0.912	2.45500E+3
51.10	0.913	2.45600E+3
51.20	0.915	2.45790E+3
51.30	0.917	2.45890E+3
51.40	0.919	2.46000E+3
51.50	0.921	2.46140E+3
51.60	0.922	2.46290E+3
51.70	0.924	2.46430E+3
51.80	0.926	2.46570E+3
51.90	0.928	2.46660E+3
52.00	0.930	2.46880E+3
52.10	0.931	2.46990E+3
52.20	0.933	2.47150E+3
52.30	0.935	2.47260E+3
52.40	0.937	2.47420E+3
52.50	0.939	2.47620E+3
52.60	0.941	2.47760E+3
52.70	0.942	2.47890E+3
52.80	0.944	2.48030E+3
52.90	0.946	2.48250E+3
53.00	0.948	2.48370E+3
53.10	0.950	2.48440E+3
53.20	0.952	2.48540E+3
53.30	0.954	2.48750E+3
53.40	0.955	2.48930E+3
53.50	0.957	2.49040E+3
53.60	0.959	2.49150E+3
53.70	0.961	2.49320E+3
53.80	0.963	2.49440E+3
53.90	0.964	2.49560E+3
54.00	0.966	2.49710E+3
54.10	0.968	2.49870E+3
54.20	0.970	2.50060E+3
54.30	0.972	2.50220E+3
54.40	0.974	2.50320E+3
54.50	0.975	2.50470E+3
54.60	0.977	2.50620E+3
54.70	0.979	2.50740E+3
54.80	0.981	2.50880E+3
54.90	0.983	2.50980E+3
55.00	0.984	2.51130E+3
55.10	0.986	2.51310E+3
55.20	0.988	2.51440E+3
55.30	0.990	2.51590E+3
55.40	0.992	2.51710E+3
55.50	0.994	2.51880E+3
55.60	0.995	2.51960E+3
55.70	0.997	2.52090E+3
55.80	0.999	2.52240E+3
55.90	1.001	2.52390E+3
56.00	1.003	2.52490E+3
56.10	1.004	2.52570E+3
56.20	1.006	2.52730E+3
56.30	1.008	2.52860E+3
56.40	1.010	2.52950E+3
56.50	1.011	2.53120E+3
56.60	1.013	2.53250E+3
56.70	1.015	2.53450E+3
56.80	1.017	2.53540E+3
56.90	1.019	2.53700E+3
57.00	1.020	2.53820E+3
57.10	1.022	2.53970E+3
57.20	1.024	2.54070E+3
57.30	1.026	2.54250E+3
57.40	1.028	2.54320E+3
57.50	1.029	2.54400E+3
57.60	1.031	2.54550E+3
57.70	1.033	2.54630E+3
57.80	1.035	2.54770E+3
57.90	1.036	2.54890E+3
58.00	1.038	2.55000E+3
58.10	1.040	2.55090E+3
58.20	1.042	2.55250E+3
58.30	1.043	2.55380E+3
58.40	1.045	2.55470E+3
58.50	1.047	2.55520E+3
58.60	1.048	2.55710E+3
58.70	1.050	2.55750E+3
58.80	1.052	2.55800E+3
58.90	1.054	2.55800E+3
59.00	1.055	2.55550E+3
59.10	1.057	2.54670E+3
59.20	1.059	2.54920E+3
59.30	1.061	2.55540E+3
59.40	1.063	2.56010E+3
59.50	1.064	2.56420E+3
59.60	1.066	2.56750E+3
59.70	1.068	2.57030E+3
59.80	1.070	2.57270E+3
59.90	1.071	2.57430E+3
60.00	1.073	2.57600E+3
60.10	1.075	2.57700E+3
60.20	1.076	2.57790E+3
60.30	1.078	2.57890E+3
60.40	1.080	2.57960E+3
60.50	1.082	2.58020E+3
60.60	1.084	2.58100E+3
60.70	1.085	2.58120E+3
60.80	1.087	2.58180E+3
60.90	1.089	2.58270E+3
61.00	1.091	2.57200E+3
61.10	1.092	2.55340E+3
61.20	1.094	2.55770E+3
61.30	1.096	2.56670E+3
61.40	1.098	2.57520E+3
61.50	1.099	2.58180E+3
61.60	1.101	2.58680E+3
61.70	1.103	2.59020E+3
61.80	1.105	2.59310E+3
61.90	1.106	2.56090E+3
62.00	1.108	2.55940E+3
62.10	1.110	2.56770E+3
62.20	1.112	2.57790E+3
62.30	1.114	2.58660E+3
62.40	1.115	2.59360E+3
62.50	1.117	2.59750E+3
62.60	1.119	2.59990E+3
62.70	1.121	2.56830E+3
62.80	1.122	2.57120E+3
62.90	1.124	2.58150E+3
63.00	1.126	2.59040E+3
63.10	1.128	2.59810E+3
63.20	1.129	2.60360E+3
63.30	1.131	2.60730E+3
63.40	1.133	2.60770E+3
63.50	1.135	2.57910E+3
63.60	1.136	2.58150E+3
63.70	1.138	2.59070E+3
63.80	1.140	2.59970E+3
63.90	1.141	2.60730E+3
64.00	1.143	2.61140E+3
64.10	1.145	2.61460E+3
64.20	1.147	2.61410E+3
64.30	1.148	2.58900E+3
64.40	1.150	2.58800E+3
64.50	1.152	2.59510E+3
64.60	1.154	2.60330E+3
64.70	1.156	2.61030E+3
64.80	1.157	2.61500E+3
64.90	1.159	2.61570E+3
65.00	1.161	2.59480E+3
65.10	1.163	2.59150E+3
65.20	1.165	2.59910E+3
65.30	1.167	2.60750E+3
65.40	1.168	2.61390E+3
65.50	1.170	2.61630E+3
65.60	1.172	2.60430E+3
65.70	1.174	2.60220E+3
65.80	1.176	2.61030E+3
65.90	1.178	2.61750E+3
66.00	1.179	2.62340E+3
66.10	1.181	2.62650E+3
66.20	1.183	2.57030E+3
66.30	1.185	2.57210E+3
66.40	1.187	2.58320E+3
66.50	1.188	2.59580E+3
66.60	1.190	2.60760E+3
66.70	1.192	2.61730E+3
66.80	1.194	2.62450E+3
66.90	1.196	2.58350E+3
67.00	1.198	2.58900E+3
67.10	1.199	2.60110E+3
67.20	1.201	2.61230E+3
67.30	1.203	2.62230E+3
67.40	1.205	2.58830E+3
67.50	1.207	2.58950E+3
67.60	1.209	2.60180E+3
67.70	1.210	2.61410E+3
67.80	1.212	2.62500E+3
67.90	1.214	2.63300E+3
68.00	1.216	2.63450E+3
68.10	1.218	2.61440E+3
68.20	1.219	2.62220E+3
68.30	1.221	2.63390E+3
68.40	1.223	2.64140E+3
68.50	1.225	2.63460E+3
68.60	1.227	2.59510E+3
68.70	1.228	2.59600E+3
68.80	1.230	2.60700E+3
68.90	1.232	2.61830E+3
69.00	1.234	2.62850E+3
69.10	1.236	2.59370E+3
69.20	1.237	2.59430E+3
69.30	1.239	2.60580E+3
69.40	1.241	2.61860E+3
69.50	1.243	2.63070E+3
69.60	1.245	2.60840E+3
69.70	1.247	2.59520E+3
69.80	1.248	2.60490E+3
69.90	1.250	2.61730E+3
70.00	1.252	2.62970E+3
70.10	1.254	2.63950E+3
70.20	1.255	2.60300E+3
70.30	1.257	2.60650E+3
70.40	1.259	2.61920E+3
70.50	1.261	2.63090E+3
70.60	1.263	2.64150E+3
70.70	1.264	2.65030E+3
70.80	1.266	2.61720E+3
70.90	1.268	2.61990E+3
71.00	1.270	2.63160E+3
71.10	1.272	2.64330E+3
71.20	1.273	2.65410E+3
71.30	1.275	2.66160E+3
71.40	1.277	2.66570E+3
71.50	1.279	2.66580E+3
71.60	1.280	2.65760E+3
71.70	1.282	2.65280E+3
71.80	1.284	2.65560E+3
71.90	1.286	2.66170E+3
72.00	1.287	2.66720E+3
72.10	1.289	2.67190E+3
72.20	1.291	2.66850E+3
72.30	1.293	2.66010E+3
72.40	1.294	2.66160E+3
72.50	1.296	2.66650E+3
72.60	1.298	2.67250E+3
72.70	1.300	2.67780E+3
72.80	1.301	2.68240E+3
72.90	1.303	2.68570E+3
73.00	1.305	2.63410E+3
73.10	1.307	2.63750E+3
73.20	1.308	2.64950E+3
73.30	1.310	2.66150E+3
73.40	1.312	2.67290E+3
73.50	1.314	2.68240E+3
73.60	1.315	2.68940E+3
73.70	1.317	2.69560E+3
73.80	1.319	2.68900E+3
73.90	1.321	2.65020E+3
74.00	1.322	2.65800E+3
74.10	1.324	2.66960E+3
74.20	1.326	2.68110E+3
74.30	1.328	2.69110E+3
74.40	1.329	2.69900E+3
74.50	1.331	2.65920E+3
74.60	1.333	2.66080E+3
74.70	1.335	2.67240E+3
74.80	1.336	2.68420E+3
74.90	1.338	2.69500E+3
75.00	1.340	2.70350E+3
75.10	1.342	2.71060E+3
75.20	1.343	2.67090E+3
75.30	1.345	2.67210E+3
75.40	1.347	2.68320E+3
75.50	1.349	2.69480E+3
75.60	1.350	2.70620E+3
75.70	1.352	2.71480E+3
75.80	1.354	2.72140E+3
75.90	1.356	2.72710E+3
76.00	1.357	2.72650E+3
76.10	1.359	2.67000E+3
76.20	1.361	2.67730E+3
76.30	1.363	2.69030E+3
76.40	1.365	2.70270E+3
76.50	1.366	2.71410E+3
76.60	1.368	2.72320E+3
76.70	1.370	2.73050E+3
76.80	1.372	2.73690E+3
76.90	1.373	2.74140E+3
77.00	1.375	2.70030E+3
77.10	1.377	2.68460E+3
77.20	1.379	2.69380E+3
77.30	1.380	2.70520E+3
77.40	1.382	2.71670E+3
77.50	1.384	2.72740E+3
77.60	1.385	2.73600E+3
77.70	1.387	2.74330E+3
77.80	1.389	2.74910E+3
77.90	1.391	2.68860E+3
78.00	1.392	2.69490E+3
78.10	1.394	2.70680E+3
78.20	1.396	2.71740E+3
78.30	1.398	2.70320E+3
78.40	1.399	2.70240E+3
78.50	1.401	2.71400E+3
78.60	1.404	2.73180E+3
78.70	1.405	2.73650E+3
78.80	1.407	2.74690E+3
78.90	1.408	2.75450E+3
79.00	1.410	2.75820E+3
79.10	1.412	2.70010E+3
79.20	1.414	2.69860E+3
79.30	1.416	2.71130E+3
79.40	1.418	2.72480E+3
79.50	1.419	2.73640E+3
79.60	1.421	2.74830E+3
79.70	1.423	2.75830E+3
79.80	1.425	2.76530E+3
79.90	1.427	2.76900E+3
80.00	1.428	2.76310E+3
80.10	1.430	2.71100E+3
80.20	1.432	2.71320E+3
80.30	1.434	2.72440E+3
80.40	1.436	2.73660E+3
80.50	1.438	2.74900E+3
80.60	1.439	2.75980E+3
80.70	1.441	2.75970E+3
80.80	1.443	2.71640E+3
80.90	1.445	2.72260E+3
81.00	1.447	2.73510E+3
81.10	1.449	2.74650E+3
81.20	1.450	2.75760E+3
81.30	1.452	2.75840E+3
81.40	1.454	2.74600E+3
81.50	1.456	2.74840E+3
81.60	1.458	2.75970E+3
81.70	1.459	2.76910E+3
81.80	1.461	2.77580E+3
81.90	1.463	2.74140E+3
82.00	1.465	2.74100E+3
82.10	1.467	2.75100E+3
82.20	1.468	2.76260E+3
82.30	1.470	2.75320E+3
82.40	1.472	2.75660E+3
82.50	1.474	2.76700E+3
82.60	1.476	2.77640E+3
82.70	1.477	2.78240E+3
82.80	1.479	2.74200E+3
82.90	1.481	2.74180E+3
83.00	1.483	2.75060E+3
83.10	1.485	2.76060E+3
83.20	1.486	2.76940E+3
83.30	1.488	2.77690E+3
83.40	1.490	2.73970E+3
83.50	1.492	2.74270E+3
83.60	1.494	2.75440E+3
83.70	1.496	2.76610E+3
83.80	1.497	2.77640E+3
83.90	1.499	2.78510E+3
84.00	1.501	2.79030E+3
84.10	1.503	2.79280E+3
84.20	1.504	2.76320E+3
84.30	1.506	2.76500E+3
84.40	1.508	2.77630E+3
84.50	1.510	2.78660E+3
84.60	1.512	2.79490E+3
84.70	1.513	2.80010E+3
84.80	1.515	2.80380E+3
84.90	1.517	2.80600E+3
85.00	1.519	2.74140E+3
85.10	1.520	2.74570E+3
85.20	1.522	2.75880E+3
85.30	1.524	2.77120E+3
85.40	1.526	2.78360E+3
85.50	1.528	2.79460E+3
85.60	1.529	2.80380E+3
85.70	1.531	2.81010E+3
85.80	1.533	2.81640E+3
85.90	1.535	2.82160E+3
86.00	1.536	2.74720E+3
86.10	1.538	2.74970E+3
86.20	1.540	2.76170E+3
86.30	1.542	2.77530E+3
86.40	1.543	2.78740E+3
86.50	1.545	2.79880E+3
86.60	1.547	2.80880E+3
86.70	1.549	2.81770E+3
86.80	1.550	2.75440E+3
86.90	1.552	2.75920E+3
87.00	1.554	2.77150E+3
