Время_[с]	Перемещение_[мм]	Усилие_[Н]
0.00	0.000	1.39300E+2
0.10	0.003	1.54900E+2
0.20	0.004	1.60300E+2
0.30	0.006	1.70500E+2
0.40	0.008	1.80100E+2
0.50	0.009	1.89800E+2
0.60	0.011	1.99200E+2
0.70	0.013	2.08600E+2
0.80	0.015	2.18300E+2
0.90	0.017	2.28300E+2
1.00	0.018	2.37900E+2
1.10	0.020	2.49600E+2
1.20	0.022	2.59100E+2
1.30	0.024	2.68600E+2
1.40	0.026	2.82400E+2
1.50	0.027	2.89300E+2
1.60	0.029	2.98200E+2
1.70	0.031	3.07500E+2
1.80	0.033	3.17100E+2
1.90	0.034	3.25800E+2
2.00	0.036	3.36200E+2
2.10	0.038	3.44800E+2
2.20	0.039	3.54600E+2
2.30	0.041	3.64100E+2
2.40	0.043	3.72600E+2
2.50	0.044	3.82100E+2
2.60	0.046	3.91100E+2
2.70	0.048	4.00300E+2
2.80	0.050	4.09200E+2
2.90	0.051	4.18500E+2
3.00	0.053	4.27400E+2
3.10	0.055	4.36400E+2
3.20	0.056	4.45300E+2
3.30	0.058	4.54000E+2
3.40	0.060	4.62700E+2
3.50	0.062	4.71300E+2
3.60	0.063	4.79900E+2
3.70	0.065	4.88300E+2
3.80	0.067	4.96700E+2
3.90	0.068	5.06100E+2
4.00	0.070	5.14600E+2
4.10	0.072	5.23000E+2
4.20	0.074	5.33800E+2
4.30	0.075	5.39400E+2
4.40	0.077	5.47800E+2
4.50	0.079	5.56200E+2
4.60	0.081	5.64700E+2
4.70	0.082	5.73300E+2
4.80	0.084	5.81900E+2
4.90	0.086	5.90300E+2
5.00	0.088	5.98200E+2
5.10	0.090	6.06100E+2
5.20	0.091	6.13900E+2
5.30	0.093	6.22000E+2
5.40	0.095	6.29300E+2
5.50	0.097	6.37400E+2
5.60	0.098	6.45200E+2
5.70	0.100	6.52900E+2
5.80	0.102	6.60100E+2
5.90	0.104	6.67700E+2
6.00	0.106	6.75400E+2
6.10	0.107	6.82700E+2
6.20	0.109	6.89500E+2
6.30	0.111	6.97100E+2
6.40	0.113	7.04400E+2
6.50	0.115	7.11700E+2
6.60	0.117	7.18600E+2
6.70	0.118	7.25100E+2
6.80	0.120	7.31800E+2
6.90	0.122	7.38400E+2
7.00	0.124	7.44800E+2
7.10	0.126	7.51400E+2
7.20	0.127	7.57700E+2
7.30	0.129	7.63800E+2
7.40	0.131	7.70100E+2
7.50	0.132	7.75600E+2
7.60	0.134	7.82200E+2
7.70	0.136	7.87400E+2
7.80	0.138	7.93200E+2
7.90	0.139	7.98800E+2
8.00	0.141	8.04700E+2
8.10	0.143	8.11000E+2
8.20	0.145	8.17000E+2
8.30	0.146	8.23100E+2
